sector,region,impact_score,key_examples
Aviation,North America,10,"Delta (7K flights / $500M); United (550 flights); American (450 flights)"
Aviation,Europe,8,"Ryanair delays; Lufthansa; Iberia/Vueling; Brussels Airlines; KLM"
Aviation,Asia-Pacific,7,"Air India; IndiGo; SpiceJet; Cathay Pacific; Virgin Australia"
Aviation,Middle East,6,"Emirates; flydubai; Turkish Airlines disrupted"
Aviation,South America,4,"LATAM and Gol Airlines disruptions reported"
Aviation,Africa,3,"SAA and Kenya Airways disruptions reported"
Healthcare,North America,9,"US hospitals rerouted emergency patients; surgeries cancelled; EHR systems down"
Healthcare,Europe,9,"NHS England cancelled 10K+ appointments; German and Spanish hospitals affected"
Healthcare,Asia-Pacific,5,"Indian hospitals on paper fallback; Australian hospitals affected"
Healthcare,Middle East,3,"Some regional hospitals disrupted"
Healthcare,South America,2,"Limited healthcare impact reported"
Healthcare,Africa,2,"Limited healthcare impact reported"
Banking & Payments,North America,9,"Chase; Bank of America; Wells Fargo; payment processing widely affected"
Banking & Payments,Europe,9,"NatWest; Lloyds; Halifax; Deutsche Bank; ING; UBS disruptions"
Banking & Payments,Asia-Pacific,8,"CBA; Westpac; NAB; ANZ; DBS; HDFC; SBI banking disruptions"
Banking & Payments,Middle East,5,"UAE and Turkish banks disrupted"
Banking & Payments,South America,4,"Brazilian and Mexican banking disruptions"
Banking & Payments,Africa,3,"South African banks (FNB and Standard Bank) disrupted"
Government & Emergency,North America,8,"911 call centers in several US states; TSA; FAA secondary impacts"
Government & Emergency,Europe,7,"UK Border Force; government IT; emergency dispatch systems disrupted"
Government & Emergency,Asia-Pacific,5,"Australian emergency services; Indian government systems"
Government & Emergency,Middle East,4,"Israeli government systems; UAE government portals disrupted"
Government & Emergency,South America,3,"Limited government disruption reported"
Government & Emergency,Africa,2,"Limited government disruption reported"
Retail & Hospitality,North America,7,"McDonald's; Starbucks; hotel booking and retail POS disrupted"
Retail & Hospitality,Europe,6,"Retail chains and hospitality booking systems affected"
Retail & Hospitality,Asia-Pacific,5,"Retail chains and hotel systems disrupted in Australia and India"
Retail & Hospitality,Middle East,4,"Retail and hospitality systems in UAE and Turkey disrupted"
Retail & Hospitality,South America,3,"Limited retail disruption reported"
Retail & Hospitality,Africa,2,"Limited retail disruption reported"
Media & Broadcasting,North America,6,"CBS and NBC production systems disrupted; content delivery affected"
Media & Broadcasting,Europe,8,"Sky News went off-air; BBC production systems; EU broadcasters disrupted"
Media & Broadcasting,Asia-Pacific,4,"Some broadcasters in Australia and India affected"
Media & Broadcasting,Middle East,3,"Some regional broadcasters affected"
Media & Broadcasting,South America,2,"Limited media disruption reported"
Media & Broadcasting,Africa,2,"Limited media disruption reported"
